fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,12,HARYANA,1203,KURUKSHETRA,398860,377.7637882,30,11,382.8711244,453,68,1101,327936,114332,20163,0,0,68.18137,1689.875951,10801,14643,24181,53506,37,64404,123112,1554,1238.823457,221708,10,65.45,13.42,102.22,NA
2024-2025,Dec,12,HARYANA,1207,SONIPAT,369388,406.0692767,32,8,227.6419057,289,99,472,235323,118035,12791,0,0,58.87429,1242.0906,7274,9469,15428,25152,16,45291,66328,761,955.5744041,144030,8,76.57,11.61,100.91,NA
2024-2025,Dec,12,HARYANA,1210,GURUGRAM,56290,376.3168906,43,0,80.7804735,102,95,120,39692,21059,2117,0,0,23.94277,254.0909437,906,967,3231,4151,6,14304,18482,222,149.3677002,28323,0,45.38,2.38,100,NA
2024-2025,Dec,12,HARYANA,1212,MAHENDRAGARH,291010,418.1141005,25,0,357.1832077,748,101,861,125175,30232,8740,0,0,61.26926,941.826793,4885,6021,17651,28373,2,65829,92524,1609,523.3743253,61441,10,35.15,19.93,106.34,NA
2024-2025,Dec,12,HARYANA,1204,KAITHAL,590570,439.0602741,18,59,81.4011954,885,33,1191,372477,165509,37663,0,0,67.57633,1784.376063,20679,26636,37748,77879,0,68883,127073,2076,1635.398537,269811,35,90.52,3.42,108.22,NA
2024-2025,Dec,12,HARYANA,1211,REWARI,92450,400.1061404,22,0,151.4804343,205,204,336,53127,33582,9088,0,0,45.53666,409.5814835,2322,2800,7824,14535,1,40487,77658,541,212.5643892,39967,6,75.06,9.5,106.69,NA
2024-2025,Dec,12,HARYANA,1220,JHAJJAR,294850,373.9786121,33,1,99.03267489,328,64,438,186367,92088,14967,0,0,53.36145,849.3668449,5585,6702,16393,29185,9,64205,107452,766,696.97272,110412,13,78.11,20.84,99.97,NA
2024-2025,Dec,12,HARYANA,1222,CHARKI DADRI,98400,392.9730064,24,12,57.2858676,218,59,401,68580,33137,7326,0,0,23.87038,350.6571354,2752,3391,9472,16964,0,30884,53635,619,269.5008878,42026,1,97.73,0.2,103.31,NA
2024-2025,Nov,12,HARYANA,1206,PANIPAT,368550,358.0636204,33,6,426.137046,502,22,495,257173,126221,16651,0,0,54.9592,1401.939201,7737,10178,18260,34287,23,41567,69971,997,920.8429545,164010,13,60.56,11.35,101.01,NA
2024-2025,Nov,12,HARYANA,1207,SONIPAT,335938,412.9805155,28,6,227.6419057,252,106,495,192070,95474,12652,0,0,58.87429,1079.727872,6688,8642,15251,24859,9,44909,65795,747,793.2116761,117263,12,73.1,12.98,100.82,NA
2024-2025,Nov,12,HARYANA,1215,HISAR,1371610,413.4622081,25,42,3134.357007,2738,5,2741,1281573,707173,86355,0,0,110.34938,8543.526411,50025,69461,71895,153521,39,121613,241122,5479,5298.820024,832187,6,52.27,13.82,100.51,NA
2024-2025,Nov,12,HARYANA,1202,YAMUNANAGAR,200100,404.6957346,30,0,210.0222139,527,142,431,86942,24416,9575,0,0,42.21852,604.0912995,2872,3731,13621,24506,4,47745,76314,958,351.8505656,29487,31,56.29,18.35,100.38,NA
2024-2025,Nov,12,HARYANA,1207,SONIPAT,335938,411.6866181,29,6,227.6419057,262,103,493,195823,97325,12667,0,0,58.87429,1092.693282,6732,8703,15269,24891,8,44950,65860,755,806.1770861,119780,12,73.46,12.85,100.78,NA
2024-2025,Nov,12,HARYANA,1216,SIRSA,698550,475.861257,14,66,969.7191106,2012,32,2444,422551,259750,86208,0,0,77.63424,3058.109851,29157,40266,58760,136104,0,124221,265830,4456,2010.7565,260583,21,71.08,4.22,141.37,NA
2024-2025,Nov,12,HARYANA,1203,KURUKSHETRA,376060,378.8594289,30,10,382.8711244,438,74,1175,310911,107603,20058,0,0,67.21137,1627.998133,10320,14012,24073,53280,33,64117,122678,1613,1177.915639,210085,15,67.39,12.29,102.33,NA
2024-2025,Nov,12,HARYANA,1213,BHIWANI,444150,387.2089938,23,22,406.581009,1012,48,1473,419827,221749,42576,0,0,58.45441,2090.643321,17751,23238,37438,79443,1,86920,169537,2485,1625.607902,267010,2,66.67,11.67,112.28,NA
2024-2025,Nov,12,HARYANA,1218,FATEHABAD,1091005,403.4748954,23,62,3087.044028,2547,2,3988,940400,556718,84122,0,0,116.64818,6997.970124,40801,62639,62201,135303,19,76096,157397,6535,3794.277917,582213,11,62.38,10.95,105.09,NA
2024-2025,Nov,12,HARYANA,1222,CHARKI DADRI,91900,395.0669992,22,11,57.2858676,207,60,406,61416,28970,7316,0,0,23.87038,323.7905958,2687,3316,9457,16938,0,30843,53564,613,242.6343482,37049,1,97.46,0.23,103.72,NA
2024-2025,July,12,HARYANA,1211,REWARI,57080,438.8203681,17,0,0.62806,6,297,533,23309,14807,8642,0,0,17.27762,120.1903196,1352,1596,7487,13878,0,40182,77230,539,102.2846396,17549,6,83.68,8.11,107.33,NA
2024-2025,July,12,HARYANA,1221,PALWAL,38935,497.7318308,24,1,0,3,232,964,34941,2011,2118,0,0,3.71226,177.624739,1407,1728,10713,14899,1,39137,53510,967,173.912479,14502,30,35.4,4.78,150.82,NA
2024-2025,July,12,HARYANA,1209,FARIDABAD,35600,249.6765779,22,0,0,6,82,79,9047,1746,869,0,0,7.64047,30.22871,403,480,2726,3187,1,7719,8427,85,22.58824,3939,2,56.58,18.35,120.91,NA
2024-2025,July,12,HARYANA,1210,GURUGRAM,31450,371.5478345,34,0,78.0384935,60,102,136,20979,10412,1979,0,0,4.50799,160.4935037,601,648,3044,3904,0,14129,18298,196,77.9470202,14775,0,42.15,0,99.94,NA
2024-2025,July,12,HARYANA,1212,MAHENDRAGARH,120550,495.0351393,20,0,310.5241749,455,180,918,50234,11757,8338,0,0,22.59282,581.7929468,2450,2947,16785,27100,0,65331,91869,1373,248.6759519,24973,12,41.26,23.31,113.24,NA
2024-2025,July,12,HARYANA,1222,CHARKI DADRI,49200,399.7033332,16,11,55.8410924,65,70,523,38392,18308,7242,0,0,13.08379,222.3789861,2313,2838,9365,16769,0,30738,53418,588,153.4541037,23594,1,95.92,0.37,102.74,NA
2024-2025,Aug,12,HARYANA,1201,AMBALA,66470,370.6099921,15,1,2.6381695,188,246,469,30254,18958,9990,0,0,22.5165,137.2790165,1991,2258,10185,16503,0,37476,52397,657,112.124347,18747,34,49.05,35.54,99.86,NA
2024-2025,Aug,12,HARYANA,1209,FARIDABAD,39850,280.2123998,27,0,0,6,77,81,11855,1756,862,0,0,7.64047,40.85965,431,505,2730,3195,1,7729,8445,87,33.21918,5077,2,56.57,14.2,119.79,NA
2024-2025,Aug,12,HARYANA,1210,GURUGRAM,37250,371.6968935,37,0,78.0384935,92,100,112,24394,12479,1991,0,0,4.50799,173.2182237,647,698,3059,3926,0,14170,18343,204,90.6717402,17335,0,41.55,0.07,99.96,NA
2024-2025,Aug,12,HARYANA,1215,HISAR,833465,427.7332542,19,79,2690.371819,1524,18,3410,870352,489091,85384,0,0,68.23607,6481.392822,43699,59415,70699,151309,2,120944,239965,4934,3722.784933,565956,6,49.69,15.54,100.41,NA
2024-2025,Aug,12,HARYANA,1203,KURUKSHETRA,315910,370.85527,27,8,126.1741399,216,128,1261,252077,86650,19861,0,0,32.15929,1093.174269,9164,12381,23807,52695,7,63906,122291,1477,934.8408389,171616,16,73.29,9.11,101.3,NA
2024-2025,Aug,12,HARYANA,1205,KARNAL,555970,362.5343783,23,21,60.88337528,442,152,1260,378599,194682,52466,0,0,33.49902,1466.933926,16319,21695,45449,93883,0,91957,167467,1702,1372.551531,253312,19,87.17,6.64,123.9,NA
2024-2025,Aug,12,HARYANA,1206,PANIPAT,293125,352.2197904,25,4,355.236425,336,31,522,176977,88402,16822,0,0,29.52667,1008.111114,6832,8852,18373,34779,0,42481,71824,858,623.3480185,114966,14,58.42,13.06,101.5,NA
2024-2025,Aug,12,HARYANA,1209,FARIDABAD,39850,307.8311662,23,0,0,6,78,79,9998,1602,862,0,0,7.64047,38.41743,425,499,2730,3195,1,7729,8445,85,30.77696,4111,2,58.09,16.51,122.55,NA
2024-2025,Aug,12,HARYANA,1215,HISAR,833465,434.6679673,19,79,2690.371819,1513,18,3351,829994,467921,85286,0,0,68.23607,6366.325937,42776,58030,70597,151117,1,120864,239823,4864,3607.718048,540516,6,48.9,15.8,100.53,NA
2024-2025,Nov,12,HARYANA,1202,YAMUNANAGAR,200100,397.04332,29,0,210.0222139,550,125,423,94819,27374,9676,0,0,42.59264,629.0873595,3201,4154,13729,24709,4,47878,76573,973,376.4725056,33041,30,58.09,17.12,100.24,NA
2024-2025,Nov,12,HARYANA,1211,REWARI,84730,405.1366308,22,0,151.4804343,204,209,329,49893,31714,8974,0,0,45.53666,399.1519135,2199,2639,7740,14375,1,40455,77606,533,202.1348192,37809,6,74.82,9.38,107.06,NA
2024-2025,Nov,12,HARYANA,1214,JIND,612200,372.6618202,21,31,1350.791726,1387,5,1836,494513,276941,49788,0,0,100.04967,3293.702542,22600,28362,40470,87859,1,68540,137767,3223,1842.861147,328902,10,59.94,27.33,100,NA
2024-2025,Nov,12,HARYANA,1220,JHAJJAR,275000,375.2204628,31,1,99.03267489,326,66,430,158131,77707,14841,0,0,53.36145,745.7339949,5020,5999,16272,28947,3,64066,107218,756,593.33987,93638,15,76.13,22.64,99.94,NA
2024-2025,Dec,12,HARYANA,1207,SONIPAT,369388,405.2636398,30,6,227.6419057,284,101,484,216107,108131,12726,0,0,58.87429,1162.31929,6978,9066,15347,25033,13,45137,66112,768,875.8030941,132034,12,74.9,12.4,100.71,NA
2024-2025,Dec,12,HARYANA,1218,FATEHABAD,1215605,397.2816021,24,65,3087.044028,3140,2,3583,1035395,612387,84296,0,0,116.64818,7317.126052,42583,65783,62370,135674,27,76342,157899,6723,4113.433844,645716,11,64.5,10.4,104.63,NA
2024-2025,Sep,12,HARYANA,1202,YAMUNANAGAR,162490,426.3847947,28,0,92.165151,90,345,356,63743,16372,9442,0,0,20.45555,384.4111607,2201,2858,13470,24276,0,47667,76229,446,271.7904597,22332,23,56.54,17.23,100.53,NA
2024-2025,Sep,12,HARYANA,1207,SONIPAT,270088,420.455417,25,6,180.0557308,179,113,504,160970,80742,12534,0,0,28.55001,885.4128255,6315,8132,15141,24664,6,44806,65631,683,676.8070847,98300,14,72.7,14.4,100.4,NA
2024-2025,Sep,12,HARYANA,1213,BHIWANI,334050,395.7512352,19,21,255.4999739,569,55,1758,316035,166222,42314,0,0,27.98627,1534.19866,15995,20725,37038,78697,0,86576,168958,2327,1250.712416,200512,2,67.72,12.32,111.5,NA
2024-2025,Sep,12,HARYANA,1206,PANIPAT,333175,348.2026637,27,6,355.236425,352,24,525,196588,96876,16850,0,0,29.52667,1069.287748,7185,9365,18426,34848,6,42399,71667,877,684.5246525,127359,14,55.61,12.73,101.35,NA
2024-2025,Sep,12,HARYANA,1213,BHIWANI,334050,395.7165914,19,19,255.4999739,569,56,1751,306901,160751,42275,0,0,27.98627,1497.94442,15828,20487,37001,78600,0,86530,168876,2320,1214.458176,195088,2,67.79,12.41,111.04,NA
2024-2025,Sep,12,HARYANA,1214,JIND,468600,376.2182695,17,21,1221.188708,974,7,1848,334689,188665,49474,0,0,43.58476,2523.934632,19295,23776,40154,87312,0,68404,137604,2822,1259.161164,223816,12,56.69,31.09,99.98,NA
2024-2025,Sep,12,HARYANA,1216,SIRSA,617650,493.4436934,11,58,727.9068851,1575,49,2632,286372,172891,85390,0,0,33.30112,2174.292579,24239,33187,58045,134688,0,123926,265300,4207,1413.084574,175752,22,82.52,4.61,136.77,NA
2024-2025,Sep,12,HARYANA,1218,FATEHABAD,832540,408.8988539,19,52,3075.390008,2197,5,4076,712274,423684,83613,0,0,68.78146,6056.651691,35858,54067,61754,134315,7,75724,156592,6273,2912.480223,441126,11,58.4,11.9,104.12,NA
2024-2025,Aug,12,HARYANA,1212,MAHENDRAGARH,161500,490.8528035,21,0,310.5241749,523,166,866,59155,13566,8391,0,0,22.59282,623.4809708,2707,3283,16920,27305,0,65391,91957,1389,290.3639759,29757,12,41.25,24.64,110.67,NA
2024-2025,Aug,12,HARYANA,1214,JIND,379650,378.7991707,16,19,1221.188708,959,10,1802,297521,166752,49318,0,0,43.58476,2391.780548,18161,22279,40029,87070,0,68402,137591,2761,1127.007081,199774,12,53.51,33.45,100,NA
2024-2025,Aug,12,HARYANA,1219,MEWAT,233490,435.826806,24,1,2557.204141,205,176,2271,188555,669,810,0,0,60.77615,3439.753525,7774,9330,55298,64739,15,151613,194531,2476,821.773234,84228,13,21.18,7.5,99.5,NA
2024-2025,Aug,12,HARYANA,1201,AMBALA,66470,375.5461764,14,1,2.6381695,182,250,470,27738,17084,9942,0,0,22.5165,129.3236679,1871,2114,10149,16445,0,37465,52382,652,104.1689984,17505,34,50.61,36.87,100,NA
2024-2025,Aug,12,HARYANA,1203,KURUKSHETRA,315910,372.4075861,26,8,126.1741399,216,131,1259,243879,83822,19804,0,0,32.15929,1066.557327,9093,12262,23744,52570,6,63880,122248,1475,908.2238969,166108,16,72.98,9.11,101.25,NA
2024-2025,Aug,12,HARYANA,1206,PANIPAT,293125,348.5328602,25,4,355.236425,336,32,519,173494,86446,16803,0,0,29.52667,989.4466955,6770,8757,18351,34739,0,42477,71816,855,604.6836005,112435,14,58.99,13.39,101.09,NA
2024-2025,Aug,12,HARYANA,1208,ROHTAK,357150,410.6210059,18,1,189.3466585,284,43,714,115899,58381,21980,0,0,22.67757,687.9298681,6163,7738,22215,40692,4,42249,70958,998,475.9056396,71184,11,82.1,8.75,140.1,NA
2024-2025,Aug,12,HARYANA,1210,GURUGRAM,37250,376.9412869,38,0,78.0384935,60,101,142,23623,11925,1987,0,0,4.50799,171.5913237,618,667,3053,3917,0,14169,18342,202,89.0448402,16669,0,35.84,0.09,100,NA
2024-2025,Aug,12,HARYANA,1214,JIND,379650,378.4826685,16,19,1221.188708,959,10,1802,297517,166751,49317,0,0,43.58476,2390.823748,18159,22277,40029,87063,0,68393,137572,2761,1126.050281,199773,12,53.9,33.83,100,NA
2024-2025,Aug,12,HARYANA,1218,FATEHABAD,620290,413.8011631,17,44,3075.390008,2189,5,3961,558776,329749,83297,0,0,68.78146,5456.393055,31310,46677,61437,133658,1,75610,156291,6150,2312.221587,345669,11,53.88,12.89,103.56,NA
2024-2025,Aug,12,HARYANA,1222,CHARKI DADRI,53450,402.7581922,17,11,55.8410924,67,68,526,43124,20706,7266,0,0,13.08379,242.6103252,2425,2988,9387,16812,0,30778,53480,593,173.6854428,26425,1,96.37,0.33,104.5,NA
2024-2025,July,12,HARYANA,1201,AMBALA,51525,376.6520274,13,1,2.6381695,167,280,464,21574,13159,9813,0,0,22.5165,106.4135779,1548,1753,10041,16280,0,37431,52316,631,81.2589084,13931,35,52.06,32.87,99.61,NA
2024-2025,July,12,HARYANA,1207,SONIPAT,202463,461.4201187,19,4,180.0557308,137,159,412,84341,41179,12239,0,0,28.55001,597.7720831,4359,5520,14760,24032,0,44479,65144,549,389.1663423,51853,17,71.4,22.22,99.94,NA
2024-2025,July,12,HARYANA,1212,MAHENDRAGARH,120550,495.8630398,20,0,310.5241749,317,188,1042,41894,9652,8291,0,0,22.59282,540.8538568,2087,2517,16689,26937,0,65310,91832,1359,207.7368619,21009,12,40,23.58,105.55,NA
2024-2025,July,12,HARYANA,1205,KARNAL,480620,289.1357482,16,11,60.88337528,189,178,1487,197567,101991,51886,0,0,33.49902,665.6192189,12091,15586,44765,92612,0,91758,167090,1676,571.2368236,134402,19,81.73,7.36,104.8,NA
2024-2025,July,12,HARYANA,1212,MAHENDRAGARH,120550,520.754186,19,0,310.5241749,427,184,937,43225,9894,8312,0,0,22.59282,558.2129918,2164,2617,16735,27013,0,65314,91838,1364,225.0959969,21740,12,39.48,23.52,109.46,NA
2024-2025,July,12,HARYANA,1218,FATEHABAD,371240,440.250052,15,39,3075.390008,2010,5,4039,435523,261553,83148,0,0,68.78146,5061.561701,28504,41932,61254,133251,0,75287,155635,6049,1917.390234,271973,11,50.76,14.11,103.42,NA
2024-2025,Aug,12,HARYANA,1202,YAMUNANAGAR,144140,420.6716172,28,0,92.165151,89,359,330,62177,16226,9441,0,0,20.45555,374.1816924,2193,2845,13461,24261,0,47648,76198,419,261.5609914,21980,25,56.67,17.52,100.48,NA
2024-2025,Aug,12,HARYANA,1206,PANIPAT,293125,351.5223836,26,6,355.236425,347,24,525,190503,94059,16858,0,0,29.52667,1054.423782,7114,9254,18417,34842,6,42416,71703,872,669.6606865,123367,14,55.46,12.27,101.37,NA
2024-2025,Aug,12,HARYANA,1201,AMBALA,66470,371.0569424,15,1,2.6381695,188,243,470,30710,19251,9993,0,0,22.5165,139.1062565,2019,2289,10191,16509,0,37479,52401,658,113.951587,18803,34,50,34.88,99.86,NA
2024-2025,Aug,12,HARYANA,1203,KURUKSHETRA,315910,380.478104,27,8,126.1741399,219,115,1290,260446,90281,19942,0,0,32.15929,1149.273433,9376,12683,23882,52880,8,63936,122349,1509,990.9400028,177101,16,73.05,9.58,101.56,NA
2024-2025,Aug,12,HARYANA,1210,GURUGRAM,37250,367.8535846,37,0,78.0384935,92,100,117,25448,13238,1991,0,0,4.50799,176.1578637,683,740,3062,3929,0,14170,18345,209,93.6113802,18057,0,43.01,0.07,99.96,NA
2024-2025,Aug,12,HARYANA,1213,BHIWANI,292200,395.0985964,19,19,255.4999739,569,60,1744,293009,153310,42212,0,0,27.98627,1441.16069,15272,19708,36912,78395,0,86488,168798,2313,1157.674446,186264,2,68.07,12.79,109.97,NA
2024-2025,Aug,12,HARYANA,1214,JIND,379650,376.3037146,17,21,1221.188708,963,7,1859,332691,187530,49467,0,0,43.58476,2516.702059,19173,23614,40146,87297,0,68405,137603,2822,1251.928591,222719,12,56.46,31.25,99.98,NA
2024-2025,Aug,12,HARYANA,1218,FATEHABAD,620290,412.5756551,19,48,3075.390008,2197,6,4058,659819,388308,83497,0,0,68.78146,5866.424029,34557,51728,61663,134121,7,75716,156551,6255,2722.252562,407617,11,56.88,12.01,103.69,NA
2024-2025,Aug,12,HARYANA,1220,JHAJJAR,180650,382.5841512,21,0,3.7126536,133,106,532,81508,42782,14585,0,0,21.09527,336.6446136,3750,4447,15857,28481,0,63750,106918,665,311.83669,49217,17,83.68,14.69,99.74,NA
2024-2025,Aug,12,HARYANA,1213,BHIWANI,292200,399.4131641,19,19,255.4999739,569,58,1745,294940,154217,42212,0,0,27.98627,1461.51543,15373,19839,36913,78408,0,86502,168831,2314,1178.029186,187523,2,67.56,12.62,110.99,NA
2024-2025,Aug,12,HARYANA,1216,SIRSA,536590,501.3595661,11,58,727.9068851,1575,50,2616,266626,160153,85193,0,0,33.30112,2097.962962,23216,31784,57876,134327,0,123917,265271,4191,1336.754957,163546,22,83.35,4.55,137.56,NA
2024-2025,July,12,HARYANA,1206,PANIPAT,228675,337.4612842,19,2,355.236425,331,42,492,104872,54068,16575,0,0,29.52667,738.665493,5413,6845,18138,34324,0,42429,71718,823,353.902398,68533,14,52.65,14.27,99.74,NA
2024-2025,July,12,HARYANA,1210,GURUGRAM,31450,379.4835754,32,0,78.0384935,58,103,132,17900,8825,1971,0,0,4.50799,150.4740435,556,598,3035,3891,0,14124,18292,190,67.92756,12487,0,40.5,0,100,NA
2024-2025,July,12,HARYANA,1213,BHIWANI,226850,414.8231631,16,12,255.4999739,417,71,1743,175966,94270,41798,0,0,27.98627,1013.433971,10959,13918,36380,77296,0,86156,168151,2160,729.9477271,113654,2,62.12,15.17,105.85,NA
2024-2025,July,12,HARYANA,1218,FATEHABAD,371240,434.3879163,15,39,3075.390008,1790,6,4223,414255,250306,83096,0,0,68.78146,4943.64513,27484,40432,61217,133137,0,75150,155349,6013,1799.473663,258758,12,49.71,14.21,103.06,NA
2024-2025,Sep,12,HARYANA,1201,AMBALA,83920,369.5828341,15,1,2.6381695,206,242,455,32652,20484,10026,0,0,22.5277,145.8420565,2085,2370,10215,16534,0,37471,52375,661,120.676187,19930,34,50.59,33.56,99.9,NA
2024-2025,Sep,12,HARYANA,1204,KAITHAL,474300,434.4257953,16,57,31.5401311,456,39,1777,309337,138431,37611,0,0,26.21377,1401.593624,18753,24067,37466,77674,0,68618,127040,2233,1343.839723,222891,41,91.58,3.17,106.15,NA
2024-2025,Sep,12,HARYANA,1205,KARNAL,606220,384.4473955,25,22,60.88337528,462,143,1243,444329,230537,52634,0,0,33.49902,1802.593663,17435,23292,45653,94234,0,91969,167464,1705,1708.211268,295385,19,85.02,7.7,127.71,NA
2024-2025,Sep,12,HARYANA,1211,REWARI,71980,415.1310828,18,0,0.62806,172,244,348,34634,21438,8777,0,0,17.27762,161.6821792,1851,2200,7606,14100,0,40266,77349,520,143.7764992,25649,6,79.79,9.48,109.79,NA
2024-2025,Sep,12,HARYANA,1214,JIND,468600,375.859013,17,21,1221.188708,977,6,1889,335191,188976,49440,0,0,43.58476,2524.619052,19331,23822,40155,87258,0,68368,137491,2866,1259.845584,224163,12,56.64,31.09,99.98,NA
2024-2025,Sep,12,HARYANA,1218,FATEHABAD,832540,407.1152649,20,55,3075.390008,2200,5,4083,725466,431532,83644,0,0,68.78146,6097.654295,36056,54507,61775,134369,7,75738,156628,6283,2953.482828,448777,11,57.46,12,104.06,NA
2024-2025,Sep,12,HARYANA,1202,YAMUNANAGAR,162490,426.279876,28,0,92.165151,90,352,349,63289,16288,9441,0,0,20.45555,382.4089717,2186,2838,13469,24273,0,47661,76217,439,269.7882707,22235,24,56.34,17.28,100.53,NA
2024-2025,Sep,12,HARYANA,1205,KARNAL,606220,380.920565,25,22,60.88337528,462,143,1240,443107,229908,52631,0,0,33.49902,1782.268083,17402,23252,45651,94229,0,91970,167466,1702,1687.885688,294644,19,85.91,7.7,128.16,NA
2024-2025,Sep,12,HARYANA,1207,SONIPAT,270088,422.7485261,25,6,180.0557308,166,117,514,158475,79832,12534,0,0,28.55001,878.5564675,6253,8058,15119,24625,6,44806,65631,680,669.9507267,96830,14,72.72,14.31,100.37,NA
2024-2025,Sep,12,HARYANA,1211,REWARI,71980,418.3562697,18,0,0.62806,189,244,348,34367,21243,8777,0,0,17.27762,161.6821792,1846,2192,7606,14098,0,40265,77346,537,143.7764992,25490,6,80.42,8.77,109.79,NA
2024-2025,Sep,12,HARYANA,1212,MAHENDRAGARH,197040,462.8446652,21,0,310.5241749,553,143,910,72580,17045,8486,0,0,22.59282,669.0496529,3314,4019,17135,27635,1,65467,92063,1463,335.932658,35678,11,40.65,23.8,110,NA
2024-2025,Sep,12,HARYANA,1222,CHARKI DADRI,64300,403.3941735,18,11,55.8410924,95,66,501,46869,22424,7291,0,0,13.08379,257.9916976,2519,3106,9433,16879,0,30780,53483,596,189.0668152,28776,1,96.66,0.3,104.42,NA
2024-2025,Aug,12,HARYANA,1206,PANIPAT,293125,350.0446795,26,4,355.236425,338,31,528,181552,91153,16830,0,0,29.52667,1020.276212,6901,8967,18376,34788,6,42492,71847,866,635.5131165,117592,14,57.01,12.42,101.01,NA
2024-2025,Aug,12,HARYANA,1207,SONIPAT,237713,428.9521062,24,5,180.0557308,145,138,477,134187,67598,12386,0,0,28.55001,784.2037035,5541,7100,14928,24339,0,44794,65610,622,575.5979627,82869,15,69.91,15.34,100.11,NA
2024-2025,Aug,12,HARYANA,1208,ROHTAK,357150,407.5268811,19,1,189.3466585,289,43,725,125644,62982,21989,0,0,22.67757,724.057303,6533,8182,22228,40716,4,42264,70980,1014,512.0330745,76922,11,81.91,8.97,140.85,NA
2024-2025,Aug,12,HARYANA,1218,FATEHABAD,620290,402.0143924,18,46,3075.390008,2197,6,4013,608774,357598,83440,0,0,68.78146,5591.530565,32808,49042,61560,133942,5,75700,156524,6210,2447.359097,375726,11,55.8,12.2,103.17,NA
2024-2025,Aug,12,HARYANA,1220,JHAJJAR,180650,381.0542573,21,0,3.7126536,125,120,515,79805,41873,14566,0,0,21.09527,328.9082736,3665,4345,15844,28452,0,63745,106907,640,304.10035,48376,18,83.49,14.84,99.33,NA
2024-2025,Aug,12,HARYANA,1222,CHARKI DADRI,53450,403.1428851,18,11,55.8410924,94,67,499,44976,21560,7272,0,0,13.08379,250.2424264,2457,3026,9394,16821,0,30778,53480,593,181.317544,27660,1,96.52,0.31,104.19,NA
2024-2025,Aug,12,HARYANA,1201,AMBALA,66470,372.6894995,15,1,2.6381695,182,248,472,29833,18653,9986,0,0,22.5165,136.3391279,1958,2223,10183,16499,0,37476,52397,654,111.1844584,18442,34,48.13,36.18,100,NA
2024-2025,Aug,12,HARYANA,1214,JIND,379650,376.1939325,16,19,1221.188708,959,9,1839,299651,168168,49322,0,0,43.58476,2392.042348,18242,22377,40031,87080,0,68405,137603,2798,1127.268881,201008,12,53.5,33.15,100,NA
2024-2025,Aug,12,HARYANA,1215,HISAR,833465,435.040065,19,79,2690.371819,1518,18,3366,843051,473994,85315,0,0,68.23607,6426.217507,43038,58455,70627,151177,1,120912,239917,4884,3667.609618,548843,6,48.95,15.76,100.52,NA
2024-2025,Aug,12,HARYANA,1217,PANCHKULA,57365,384.9557512,23,0,42.3302641,119,47,237,44182,12335,2969,0,0,16.50039,228.9118041,1851,2071,6364,10921,0,17243,25751,356,170.08115,14521,33,53.47,15.07,100,NA
2024-2025,Aug,12,HARYANA,1218,FATEHABAD,620290,407.113782,18,46,3075.390008,2197,5,3992,601474,353593,83428,0,0,68.78146,5592.855017,32493,48607,61553,133927,5,75687,156503,6189,2448.683549,371447,11,55.53,12.28,103.36,NA
2024-2025,Aug,12,HARYANA,1221,PALWAL,48285,505.817984,26,1,0,4,228,967,39107,2161,2098,0,0,3.71226,201.522499,1497,1844,10582,14691,1,38952,53211,971,197.810239,16119,29,38.14,4.46,154.84,NA
2024-2025,Aug,12,HARYANA,1205,KARNAL,555970,358.2565269,23,21,60.88337528,445,151,1260,394032,202680,52504,0,0,33.49902,1506.027753,16614,22134,45498,93963,0,91971,167484,1705,1411.645358,262603,19,87.52,6.52,122.11,NA
2024-2025,Aug,12,HARYANA,1208,ROHTAK,357150,421.233226,19,1,189.3466585,289,43,723,121095,61433,21991,0,0,22.67757,722.1166035,6338,7947,22229,40718,4,42264,70980,1012,510.092375,74343,11,81.59,9.01,140.74,NA
2024-2025,Aug,12,HARYANA,1212,MAHENDRAGARH,161500,492.4008375,21,0,310.5241749,523,164,886,59450,13626,8395,0,0,22.59282,625.8492928,2710,3287,16932,27334,0,65437,92012,1409,292.7322979,29857,12,41.38,24.52,110.24,NA
2024-2025,Aug,12,HARYANA,1214,JIND,379650,375.2642977,16,19,1221.188708,959,9,1841,299651,168168,49327,0,0,43.58476,2389.256688,18242,22377,40035,87087,0,68405,137603,2800,1124.483221,201008,12,53.5,33.15,99.74,NA
2024-2025,Aug,12,HARYANA,1217,PANCHKULA,57365,384.5832918,23,0,42.3302641,119,47,237,44182,12335,2969,0,0,16.50039,228.7472441,1851,2071,6364,10921,0,17243,25751,356,169.91659,14521,33,53.47,15.07,99.9,NA
