fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2020-2021,Jan,12,HARYANA,1206,PANIPAT,594879,309.0247268,41,11,236.0096959,473,0,584,593860,253940,17079,0,0,41.38563,2112.569569,14256,21422,18976,36016,976,36816,64156,1057,1835.174243,288205,23,79.98,80.59,100,NA
2020-2021,Jan,12,HARYANA,1207,SONIPAT,376905,305.9930438,31,10,161.127782,485,39,667,376902,176145,10739,0,0,59.00013,1373.421814,11933,15839,14614,22957,156,35231,53067,1152,1153.293902,176033,33,86.98,84.41,101.28,NA
2020-2021,Jan,12,HARYANA,1213,BHIWANI,852014,275.1945689,31,23,557.3191688,549,6,1536,852012,444617,39743,0,0,42.22222,2944.232139,26881,38988,36242,77623,388,76087,151630,2085,2344.69075,463310,17,55.13,52.88,100.2,NA
2020-2021,Jan,12,HARYANA,1216,SIRSA,843995,291.0615935,20,68,236.9712092,1205,2,1288,843995,512480,78644,0,0,46.27287,2739.789375,40833,58240,55867,127388,177,112943,242043,2493,2456.545296,444943,20,79.28,74.95,100.69,NA
2020-2021,Jan,12,HARYANA,1217,PANCHKULA,143159,300.0915514,35,0,149.6408725,228,0,380,143159,29000,2734,0,0,24.97521,604.2241465,4090,5151,6766,11324,127,15027,22505,608,429.608064,25560,36,58.86,54.27,99.98,NA
2020-2021,Jan,12,HARYANA,1219,MEWAT,4421490,284.1048898,60,99,5397.384281,1434,35,2746,4420297,54056,1997,0,0,42.93329,17998.59749,73291,82012,79581,95826,3030,138046,178235,4180,12558.27992,1832220,23,30.02,27.48,98.55,NA
2020-2021,Jan,12,HARYANA,1222,CHARKI DADRI,125885,310.3211781,27,3,63.36428067,375,5,207,125885,38350,6670,0,0,19.46048,473.4725757,4565,6400,8458,15816,42,24357,44466,582,390.647815,53413,26,83.31,79.31,99.95,NA
2018-2019,Aug,12,HARYANA,1202,YAMUNANAGAR,94019,282.535208,31,1,200.6080116,312,179,843,104976,31480,11032,0,0,10.37149,507.5736616,3347,4558,14468,27703,14,34662,58841,1155,296.59416,32224,63,59.62,52.7,100.15,NA
2018-2019,Aug,12,HARYANA,1210,GURUGRAM,26000,250.3996378,34,0,90.5543937,73,161,91,24297,12577,2110,0,0,11.39148,162.7854737,710,823,2720,3834,0,10132,13707,164,60.8396,12186,27,58.22,64.7,100,NA
2018-2019,April,12,HARYANA,1205,KARNAL,50318,194.5718735,13,5,0,7,290,703,44506,24994,49931,0,0,17.76913,104.365288,3211,4017,42692,89100,0,64944,127129,710,86.596158,26137,15,48.91,48.51,112.53,NA
2018-2019,April,12,HARYANA,1206,PANIPAT,17859,257.6335448,17,0,0,53,114,602,24117,11369,11846,0,0,4.86616,66.999642,1364,1900,11112,23480,1,25297,49193,655,62.133482,10034,72,81.72,75.52,100.11,NA
2018-2019,April,12,HARYANA,1208,ROHTAK,16965,361.0882322,15,0,0,28,82,625,15347,8096,15190,0,0,4.57139,59.987601,1012,1292,13613,26278,0,24046,44153,653,55.416211,7325,77,67.56,55.21,135.54,NA
2018-2019,April,12,HARYANA,1212,MAHENDRAGARH,12903,303.2107383,16,0,12.973128,479,268,1200,17880,3419,6870,0,0,9.78874,76.975948,1058,1260,16507,26666,0,45935,64551,1679,54.21408,6831,63,41.06,36.31,147.61,NA
2019-2020,May,12,HARYANA,1206,PANIPAT,48086,191.6456933,20,1,0,38,135,221,30499,13395,11975,0,0,0,58.45002,1453,2008,12048,24754,0,26395,50614,259,58.45002,14070,33,72.33,71.94,131.17,NA
2019-2020,May,12,HARYANA,1207,SONIPAT,22745,479.5722521,20,5,0,57,264,340,7806,2863,6156,0,0,0,37.43541,384,448,8491,13843,0,27249,42588,397,37.43541,3698,59,82.27,75.97,179.27,NA
2019-2020,May,12,HARYANA,1211,REWARI,12070,1498.739583,8,0,0,2,365,60,48,18,4235,0,0,0,0.719395,6,8,3847,7772,0,33606,68125,62,0.719395,24,12,49.12,49.12,100,NA
